transaction_amount,account_age_days,transaction_hour,previous_transactions,device_type,location_match,amount_vs_average,is_new_device,is_fraud
1875.83,1075,12,24,0,1,0.89,0,0
4753.82,480,11,14,0,1,9.25,0,0
3661.31,1043,0,37,1,1,0.5,0,0
2995.3,84,21,22,1,0,1.6,0,0
784.31,565,18,51,0,1,9.16,0,0
784.19,619,18,65,0,1,5.86,0,0
295.13,357,5,56,1,1,7.97,1,0
4331.55,816,12,56,1,1,0.26,1,1
3007.57,647,18,78,0,0,4.25,0,0
3541.82,443,12,51,0,0,9.85,1,0
107.82,1093,21,34,0,1,5.84,0,0
4849.7,523,20,73,1,1,8.51,0,0
4163.05,143,3,13,1,1,9.64,0,0
1065.63,192,23,90,1,1,6.88,0,0
913.22,378,1,13,1,1,3.34,0,0
921.11,581,14,98,2,1,3.16,0,0
1524.69,535,11,32,0,1,0.81,0,0
2626.16,1033,6,51,0,1,4.33,1,0
2162.57,93,19,0,0,1,9.16,1,0
1459.69,529,17,33,0,1,4.83,1,0
3061.21,405,22,18,1,1,9.12,0,0
701.77,840,12,23,1,0,8.19,0,1
1464.26,889,16,3,1,1,9.84,0,1
1834.98,422,3,35,0,1,9.48,0,0
2283.07,472,13,76,0,1,7.09,1,0
3926.95,893,19,57,0,1,8.73,0,0
1002.37,547,12,31,1,1,7.51,1,1
2573.6,631,2,8,0,1,7.06,0,1
2964.11,1038,17,79,0,0,7.18,0,0
237.02,778,13,66,0,1,7.24,0,0
3039.69,364,14,19,2,1,3.86,0,0
856.77,119,2,73,1,1,4.29,0,0
329.93,546,0,61,2,1,3.01,0,1
4744.68,522,23,57,1,0,1.57,0,1
4828.33,634,16,21,1,0,4.64,0,0
4042.94,963,2,66,0,1,9.01,0,0
1526.55,958,13,74,0,0,6.55,0,0
492.87,883,2,88,1,1,0.66,0,0
3422.74,780,12,47,1,0,8.13,0,0
2203.56,871,14,7,0,0,9.36,1,0
614.58,516,17,72,0,1,8.31,0,0
2478.41,938,13,14,1,1,7.3,0,0
176.77,866,20,31,0,0,1.59,0,0
4547.06,106,2,52,1,0,3.56,0,0
1297.61,214,18,66,0,1,5.7,0,0
3314.3,850,7,3,0,1,0.86,0,0
1562.0,197,3,29,0,1,1.15,0,0
2602.74,19,3,12,1,0,9.35,0,1
2735.82,642,18,20,1,1,7.06,0,0
928.35,1036,10,40,0,0,2.82,0,0
4848.08,330,0,18,1,1,3.34,0,0
3876.79,866,7,47,0,1,3.91,1,0
4697.8,774,14,85,0,1,0.84,0,0
4474.66,392,0,62,1,1,7.42,0,0
2991.51,637,6,19,0,0,1.85,0,0
4609.76,307,20,63,1,1,8.07,0,0
447.02,895,19,36,2,1,8.47,0,0
983.93,652,19,30,1,1,6.42,0,0
230.91,841,23,73,1,1,7.72,0,0
1630.03,1026,10,17,1,0,1.8,0,0
1946.44,520,13,19,0,1,5.8,0,0
1360.39,636,21,81,0,0,6.8,0,1
4144.54,740,15,10,0,1,6.65,0,0
1786.98,469,13,85,2,1,1.26,1,0
1408.27,212,11,43,0,0,3.51,1,0
2715.77,1032,16,81,0,0,3.32,0,0
708.92,804,13,63,2,1,5.77,0,0
4011.97,477,9,33,1,1,7.68,0,1
377.38,874,23,86,2,0,5.75,0,0
4934.5,460,13,64,1,0,7.57,0,1
3862.36,253,17,54,0,1,1.08,0,0
997.58,752,21,73,1,1,8.79,0,0
32.58,981,8,0,0,1,5.41,0,0
4078.23,854,16,37,0,1,0.47,1,1
3535.75,236,5,8,1,1,6.47,0,0
3646.39,478,7,94,1,0,5.22,0,0
3857.5,679,12,70,1,0,2.28,0,0
374.85,1044,17,16,2,1,7.67,1,0
1795.54,216,4,98,1,1,9.34,1,0
583.77,855,5,51,0,1,3.29,0,0
4316.2,135,20,17,1,1,4.99,0,1
3118.37,905,18,62,1,1,1.37,1,1
1657.84,410,3,32,2,1,9.31,0,0
322.47,86,6,3,0,1,3.26,0,0
1558.36,556,3,86,0,0,2.03,1,1
1629.29,378,10,74,1,1,4.84,1,0
3649.38,1075,11,51,0,0,0.53,0,0
3189.6,242,13,8,1,1,2.6,0,0
4436.63,920,12,63,0,1,0.77,0,1
2363.71,266,9,29,0,1,1.36,0,0
602.37,712,17,7,1,1,1.21,0,0
3567.66,70,15,4,0,1,8.74,0,0
3805.12,57,4,75,1,0,9.31,1,1
2808.58,39,7,62,0,1,4.8,0,0
3855.98,801,13,0,0,0,6.34,0,0
2471.51,1042,4,14,0,1,6.99,0,0
2616.05,732,23,88,1,1,3.97,0,0
2140.57,825,7,81,0,0,3.77,0,1
131.97,756,5,37,1,1,6.79,0,0
543.92,352,15,41,1,1,3.83,0,0
161.99,283,3,45,1,1,5.85,1,0
3183.87,110,11,52,1,1,5.2,0,1
1575.21,1017,10,25,0,1,5.29,0,0
2545.31,544,2,60,0,0,8.31,0,0
4538.29,25,11,66,1,1,7.07,0,0
1250.21,843,4,53,0,1,9.61,0,1
2054.86,791,5,21,1,0,7.93,0,0
3778.98,738,18,25,1,1,1.54,0,0
1147.85,57,17,82,0,1,7.41,0,1
389.51,180,15,59,1,1,6.69,0,0
1452.31,232,22,38,2,0,6.5,0,0
810.3,343,10,35,0,1,4.86,0,0
4648.84,477,4,20,1,0,0.72,0,0
4041.56,576,8,40,0,1,9.52,0,0
3168.85,455,2,47,1,1,8.53,0,0
4357.95,289,7,25,1,0,4.92,0,1
4019.34,258,5,62,1,0,1.67,1,0
936.92,530,3,76,1,1,8.26,1,0
4463.33,687,11,35,2,0,4.36,0,0
2699.01,929,11,23,1,0,3.96,0,0
4038.16,229,20,89,1,1,6.69,0,0
4480.98,596,15,20,1,1,7.61,0,1
1593.43,435,9,17,1,1,0.72,0,0
554.71,882,21,14,1,1,7.7,0,0
1143.54,1021,13,78,2,1,7.37,0,0
2138.4,402,12,5,1,1,5.93,0,0
4090.98,622,8,42,1,0,3.45,0,0
4304.35,88,6,30,0,1,1.73,0,0
39.73,584,11,27,1,1,1.12,0,0
2556.18,309,4,7,1,0,0.11,0,0
2089.97,906,17,28,1,1,2.14,0,0
1114.43,343,3,20,0,1,4.17,1,0
603.73,436,1,80,2,1,2.51,0,0
1691.39,177,2,87,0,1,3.16,0,0
4714.83,139,11,57,0,1,3.97,0,0
1619.4,194,2,59,1,1,3.15,0,0
2596.36,943,3,49,1,0,7.27,0,0
3516.58,525,5,99,0,1,4.97,0,0
1821.33,1066,11,30,1,0,0.29,1,0
4859.05,915,18,46,0,0,2.34,0,1
4812.42,210,9,33,0,1,7.13,0,0
1262.65,741,0,1,0,0,3.08,0,0
2488.76,862,16,66,1,0,9.21,1,0
1507.89,954,15,93,0,0,7.16,0,0
1427.78,833,8,71,0,1,2.97,0,0
189.25,140,20,51,1,0,5.21,0,0
3049.77,792,8,6,0,1,6.71,0,0
2515.88,546,22,75,1,0,2.01,0,0
262.14,1017,8,18,1,1,2.54,1,0
1396.84,57,11,89,1,1,5.12,0,0
4541.79,112,22,91,0,1,9.26,0,1
1201.61,5,8,14,1,1,3.51,0,0
728.75,1037,14,77,1,1,4.08,0,0
2449.82,90,1,47,0,1,1.99,0,0
4928.32,616,10,13,0,1,5.97,0,0
1214.07,891,10,2,0,0,7.43,0,0
3362.32,698,7,49,0,1,4.46,0,0
3809.29,898,22,92,2,1,7.53,0,0
1192.0,971,5,53,1,1,3.1,0,0
3642.44,668,20,5,0,1,7.1,1,0
1842.08,594,19,48,0,1,2.66,0,0
3163.37,589,6,22,2,1,7.83,0,1
3169.48,485,2,91,0,1,8.32,0,1
2681.19,982,7,77,1,1,8.0,0,0
456.0,972,17,77,0,1,2.23,0,0
4177.34,639,16,19,1,0,6.97,1,0
1607.3,997,10,76,1,1,5.43,1,0
936.66,282,1,90,0,1,9.86,0,0
208.67,986,20,59,0,1,3.68,0,0
2956.51,16,23,98,1,0,7.74,1,0
3389.43,936,18,44,2,0,3.76,0,1
87.86,254,6,60,0,1,4.03,1,0
2562.9,329,17,55,1,0,1.2,0,0
1136.35,544,7,1,0,1,2.47,0,0
3227.64,783,13,44,1,0,1.73,1,0
875.96,997,6,39,1,0,1.68,0,0
3456.23,845,20,23,0,1,0.19,0,0
1936.74,366,3,28,0,0,7.96,0,0
4683.97,655,16,66,0,1,4.73,1,1
691.92,760,4,67,1,1,8.06,0,0
1708.63,639,11,65,0,1,6.16,1,0
571.8,1064,8,83,0,1,8.33,0,0
4623.84,924,19,53,2,1,5.09,1,0
4387.31,416,12,52,0,1,1.03,0,0
1293.42,255,17,78,1,0,6.21,0,0
3301.62,710,19,48,0,0,6.81,1,0
4087.02,577,8,31,0,1,6.3,0,1
2778.23,900,3,60,0,1,8.03,1,0
2650.6,11,20,41,1,1,7.34,0,0
1213.05,26,7,0,1,0,4.38,0,0
470.05,957,0,62,1,1,8.21,0,0
