transaction_amount,account_age_days,transaction_hour,previous_transactions,device_type,location_match,amount_vs_average,is_new_device
3516.58,525,5,99,0,1,4.97,0
2827.84,181,20,75,0,1,3.64,0
232.7,360,21,23,0,1,1.57,0
385.27,1010,6,1,1,1,8.24,0
466.34,541,1,35,0,0,2.62,0
1519.91,336,8,66,1,0,7.06,0
810.3,343,10,35,0,1,4.86,0
156.78,780,19,53,0,1,4.29,0
4720.58,133,20,2,1,1,6.05,0
370.04,550,16,32,1,1,8.59,0
2295.3,134,14,7,0,1,9.58,0
1563.76,322,13,54,0,1,3.5,0
2130.34,250,22,98,0,1,3.81,0
4782.72,471,7,77,0,0,9.9,0
1983.88,626,8,40,0,1,1.66,1
1490.26,333,17,62,0,1,1.35,0
151.09,589,5,47,1,0,9.82,0
1965.26,565,19,31,1,0,6.4,0
1781.59,18,21,80,0,1,2.91,0
3533.33,304,21,0,2,1,3.77,0
