id,symbol,name,current_price,market_cap,total_volume
bitcoin,btc,Bitcoin,63901.0,1281839185926,26530567944
ethereum,eth,Ethereum,1885.0,227457490857,7658652952
tether,usdt,Tether,0.999134,183653498421,42427353051
binancecoin,bnb,BNB,592.79,78933258268,854880708
usd-coin,usdc,USDC,0.999678,71852322066,11250172444
ripple,xrp,XRP,1.073,67089752126,954288730
solana,sol,Solana,73.61,42667998197,1553756266
tron,trx,TRON,0.326439,30976414981,377913811
figure-heloc,figr_heloc,Figure Heloc,1.039,21543220168,172438636
whitebit,wbt,WhiteBIT Coin,55.65,16356728000,54381692
