customerID,gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges,Churn
CUST0000,Male,0,No,No,50,Yes,No,DSL,No,No,No,No internet,No,Yes,Month-to-month,No,Mailed check,48.15,3114.73,No
CUST0001,Female,0,No,Yes,46,Yes,No,DSL,No,No internet,Yes,No,No,Yes,Month-to-month,No,Bank transfer,27.37,2374.7,No
CUST0002,Male,0,No,Yes,3,Yes,No phone service,DSL,No internet,No,No internet,No,Yes,No,One year,No,Bank transfer,114.14,2355.53,No
CUST0003,Male,1,No,Yes,6,Yes,Yes,DSL,No,No,No,Yes,Yes,Yes,Month-to-month,No,Bank transfer,69.4,2853.87,Yes
CUST0004,Male,0,Yes,No,34,Yes,Yes,Fiber optic,No,Yes,No,No internet,No internet,Yes,Month-to-month,Yes,Electronic check,28.55,3998.78,Yes
CUST0005,Female,0,Yes,No,47,Yes,Yes,No,No internet,No internet,No,No internet,Yes,No,Two year,No,Mailed check,106.87,3391.12,No
CUST0006,Male,1,No,No,71,Yes,No phone service,DSL,Yes,Yes,Yes,No,Yes,No,Two year,Yes,Electronic check,47.88,1150.73,No
CUST0007,Male,1,Yes,No,44,Yes,No,Fiber optic,No internet,No,No,No,No,No internet,One year,Yes,Electronic check,40.36,1391.3,No
CUST0008,Male,1,No,No,71,Yes,No,Fiber optic,No,No,No internet,Yes,Yes,Yes,Month-to-month,Yes,Mailed check,48.09,2809.14,Yes
CUST0009,Female,0,Yes,No,18,Yes,No phone service,No,No,Yes,No,No,No,No,Two year,No,Electronic check,76.46,4540.31,No
CUST0010,Male,0,No,No,62,Yes,No,DSL,No,Yes,No internet,No,No internet,Yes,Month-to-month,No,Bank transfer,27.41,4782.05,No
CUST0011,Male,0,No,Yes,37,Yes,No,Fiber optic,No,No,No,Yes,No,No internet,One year,No,Bank transfer,68.18,3941.04,No
CUST0012,Male,1,Yes,No,66,Yes,Yes,No,Yes,No,Yes,No,No internet,No,Month-to-month,No,Credit card,109.57,5936.33,Yes
CUST0013,Male,1,Yes,Yes,58,Yes,No,Fiber optic,No,No,Yes,Yes,No internet,No,Month-to-month,Yes,Bank transfer,38.82,5924.27,No
CUST0014,Female,0,No,Yes,68,Yes,No,Fiber optic,No,No internet,No,No,Yes,Yes,One year,No,Electronic check,53.12,3478.26,No
CUST0015,Male,0,No,No,12,Yes,No,DSL,No internet,Yes,No,No,Yes,No,One year,Yes,Mailed check,59.61,1083.08,No
CUST0016,Female,0,Yes,No,46,Yes,No phone service,DSL,No,Yes,Yes,Yes,No,Yes,Month-to-month,No,Electronic check,78.62,4288.38,No
